Instrument,earningsGrowth,revenueGrowth,profitMargins,grossMargins,returnOnEquity,returnOnAssets,priceToBook,forwardPE,dividendYield,longName,sector,longBusinessSummary
KINV-A,,,0.0,0.0,-0.12898,-0.0805,0.84222776,,,Kinnevik AB,Financial Services,"Kinnevik AB is a venture capital firm specializing in investments in early to late venture and growth capital. The firm also prefers indirect investments in venture capital funds. It prefers to invest in digital consumer business, education, communication, e-commerce and marketplaces, entertainment, healthcare, and financial services but may also invest in other areas. The firm invests worldwide, especially in Europe with a focus on the Nordics, Latin America, Asia, Australia, Africa, and North America. The firm looks for disruptive, technology-enabled and value-added consumer services in developed and emerging markets. It takes an active role on the boards of its subsidiaries and associated companies. It acts as a long-term lead shareholder in large listed entities. Kinnevik AB was founded in 1936 and is based in Stockholm, Sweden and additional office in London, United Kingdom. Kinnevik AB was formerly known as Investment AB Kinnevik."
KINV-B,,,0.0,0.0,-0.12898,-0.0805,0.7123715,17.688211,,Kinnevik AB,Financial Services,"Kinnevik AB is a venture capital firm specializing in investments in early to late venture and growth capital. The firm also prefers indirect investments in venture capital funds. It prefers to invest in digital consumer business, education, communication, e-commerce and marketplaces, entertainment, healthcare, and financial services but may also invest in other areas. The firm invests worldwide, especially in Europe with a focus on the Nordics, Latin America, Asia, Australia, Africa, and North America. The firm looks for disruptive, technology-enabled and value-added consumer services in developed and emerging markets. It takes an active role on the boards of its subsidiaries and associated companies. It acts as a long-term lead shareholder in large listed entities. Kinnevik AB was founded in 1936 and is based in Stockholm, Sweden and additional office in London, United Kingdom. Kinnevik AB was formerly known as Investment AB Kinnevik."
LATO-B,-0.597,0.124,0.18699,0.39541,0.115150005,0.03351,3.6305528,,1.85,Investment AB Latour (publ),Industrials,"Investment AB Latour (publ) is an investment firm. The firm prefer to invest in companies for long term with Development, manufacture and marketing of proprietary products under their own brands. It prefer to invest in companies with 10 percent average annual growth over a business cycle, 10 percent operating margin over a business cycle, and 15 - 20 percent return on operating capital over a business cycle. It takes an active role on the board of its investee company. The firm was previously known as AB Hevea. Investment AB Latour (publ) was founded in 1984 and is based in Gothenburg, Sweden with an additional office in Malmo, Sweden and Stockholm, Sweden."
LUND-B,-0.271,-0.123,0.15875,0.53751,0.04474,0.01994,1.0252103,,0.98,L E Lundbergföretagen AB (publ),Industrials,"L E Lundbergföretagen AB (publ) engages in the manufacture and sale of paperboard, paper, and sawn timber products worldwide. It operates through Lundberg's Real Estate Operations, Equity Management, Holmen, and Hufvudstaden segments. The company is involved in the real estate, forest, and power operations; and provision of equity management services, including securities trading. It also owns and manages office and retail properties. The company was founded in 1944 and is headquartered in Stockholm, Sweden."
SAVE,0.142,0.122,0.48880002,0.88324,0.3497,0.0114400005,8.385877,24.929708,3.15,Nordnet AB (publ),Financial Services,"Nordnet AB (publ), together with its subsidiaries, operates a digital platform for savings and investments in Sweden, Norway, Denmark, and Finland. Its platform allows customers to invest in stocks, mutual funds, and other securities through website, app, or other applications; offers margin lending and residential mortgages; and pension savings and occupational pension solutions to employers and employees, as well as digital pension management service. The company also offers Shareville, a social investment network that allows customers share their investments in real time. It serves private savers; companies that provide occupational pensions to their employees via Nordnet; and companies that save via Nordnet. Nordnet AB (publ) was founded in 1996 and is headquartered in Stockholm, Sweden."
ROKO-B,0.082,0.09,0.11373,0.42740002,0.13491,0.05689,7.414049,43.15698,,,Financial Services,"Röko AB (publ) is a private equity firm specializes in small- and medium-sized businesses. The firm prefers to invest in B2B and B2C markets. The firm focuses on Europe region. It typically investments in companies with EBITDA between 2 million ($21.40 million) and 10 million ($107.4 million) along with margin of at least 10%. Röko AB (publ) was founded in 2019 and is headquartered in Stockholm, Sweden."
STOR-B,0.672,-0.05,0.00077,0.19228001,0.00912,0.02174,1.0014145,10.940908,0.89,Storskogen Group AB (publ),Industrials,"Storskogen Group AB (publ) owns and develops small and medium-sized businesses operating in services, trade, and industrial sectors. It owns a portfolio of companies operating in installation, engineering services, human resource (HR) and competence, logistics, digital services, contracting services, and infrastructure; home and living, health and beauty, and niche businesses, as well as sports, clothing, and accessories; and automation, products, and industrial technology business areas. Storskogen Group AB (publ) was founded in 2012 and is headquartered in Stockholm, Sweden."
SAMPO-SDB,-0.225,0.005,0.11537,0.39053002,0.14834,0.03836,38.35912,,3.66,Sampo Oyj,Financial Services,"Sampo Oyj, together with its subsidiaries, provides non-life insurance products and services in Finland, Sweden, Norway, Denmark, Estonia, Lithuania, Latvia, Spain, Gibraltar, Germany, the Netherlands, France, and the United Kingdom. The company operates through If, Topdanmark, Hastings, and Holding segments. It offers property, casualty, liability, accident, sickness, household, homeowner, motor, travel, marine, aviation, transport, forest, livestock, health, workers compensation, car, van, and bike insurance, as well as reinsurance products. The company was founded in 1909 and is based in Helsinki, Finland."
ALIF-B,0.919,0.051,0.029660001,0.37579,0.06046,0.03788,4.0397964,54.905663,0.4,AddLife AB (publ),Healthcare,"AddLife AB (publ), together with its subsidiaries, provides equipment, consumables, and reagents primarily to healthcare sector, research, colleges, and universities, as well as the food and pharmaceutical industries. The company operates through Labtech and Medtech segments. The Labtech segment offers products, solutions, and services in the areas of diagnostics, and biomedical research and laboratory analysis equipment. It offers products and solutions, including instruments and equipment, plastic consumables, cell biology, reagents, general lab, and other instruments used to diagnose diseases and conduct research. The Medtech segment provides medical device products for orthopedic, hospital consumables, critical care, endoscopy, wound care, healthcare it, ophthalmology, home adaptation, aid supply & equipment, welfare technology, and construction, as well as welfare technology and assistive technology for the elderly and people with disabilities. It operates in Sweden, the United Kingdom, Ireland, Spain, Denmark, Norway, Italy, Finland, Switzerland, Germany, and rest of world. AddLife AB (publ) was founded in 1906 and is based in Stockholm, Sweden."
ALVO-SDB,,2.6,0.16422,0.60741,,0.07018,-78.586044,,,,,"Alvotech, through its subsidiaries, develops and manufactures biosimilar medicines for patients worldwide. It offers biosimilar products in the therapeutic areas of autoimmune, eye, and bone disorders, as well as cancer. The company's lead program is AVT02, a high concentration formulation biosimilar to Humira to treat various inflammatory conditions, including rheumatoid arthritis, psoriatic arthritis, Crohn's disease, ulcerative colitis, plaque psoriasis, and other indications; AVT04, a biosimilar to Stelara to treat various inflammatory conditions comprising psoriatic arthritis, Crohn's disease, ulcerative colitis, plaque psoriasis, and other indications; AVT06, a biosimilar to Eylea to treat various conditions, such as age-related macular degeneration, macular edema, and diabetic retinopathy; and AVT03, a biosimilar to Xgeva and Prolia to treat prevent bone fracture, spinal cord compression, and the need for radiation or bone surgery in patients with certain types of cancer, as well as prevent bone loss and increase bone mass. In addition, it offers AVT05, a biosimilar to Simponi and Simponi Aria to treat various inflammatory conditions, including rheumatoid arthritis, psoriatic arthritis, ulcerative colitis, and other indications; AVT16, a biosimilar to an Entyvio product for the treatment of adult patients with moderate to severe ulcerative colitis and moderate to severely active Crohn's disease; AVT23, a biosimilar to Xolair to treat allergic asthma, chronic spontaneous urticaria (CSU), and nasal polyp; and AVT33, a biosimilar to Keytruda product which is in early phase development. Alvotech was founded in 2013 and is based in Luxembourg, Luxembourg."
